#conf  sigma[cmm1]   T[K]      K_x            K_y            K_z                 K_xy           K_xz           K_yz                K_yx           K_zx           K_zy       
  1   20.000000    5.000000   0.114259E+05   0.210181E+05   0.000000E+00       -0.124333E+05   0.000000E+00   0.000000E+00       -0.124333E+05   0.000000E+00   0.000000E+00
  2   20.000000   10.000000   0.135616E+05   0.244802E+05   0.000000E+00       -0.861313E+04   0.000000E+00   0.000000E+00       -0.861313E+04   0.000000E+00   0.000000E+00
  3   20.000000   20.000000   0.104516E+05   0.166106E+05   0.000000E+00       -0.519629E+04   0.000000E+00   0.000000E+00       -0.519629E+04   0.000000E+00   0.000000E+00
  4   20.000000   30.000000   0.660116E+04   0.113614E+05   0.000000E+00       -0.324820E+04   0.000000E+00   0.000000E+00       -0.324820E+04   0.000000E+00   0.000000E+00
  5   20.000000   50.000000   0.361683E+04   0.685007E+04   0.000000E+00       -0.173735E+04   0.000000E+00   0.000000E+00       -0.173735E+04   0.000000E+00   0.000000E+00
  6   20.000000   70.000000   0.248449E+04   0.487145E+04   0.000000E+00       -0.117014E+04   0.000000E+00   0.000000E+00       -0.117014E+04   0.000000E+00   0.000000E+00
  7   20.000000  100.000000   0.160348E+04   0.324715E+04   0.000000E+00       -0.766075E+03   0.000000E+00   0.000000E+00       -0.766075E+03   0.000000E+00   0.000000E+00
  8   20.000000  200.000000   0.483578E+03   0.103559E+04   0.000000E+00       -0.193432E+03   0.000000E+00   0.000000E+00       -0.193432E+03   0.000000E+00   0.000000E+00
  9   20.000000  300.000000   0.236668E+03   0.504175E+03   0.000000E+00       -0.747638E+02   0.000000E+00   0.000000E+00       -0.747638E+02   0.000000E+00   0.000000E+00
 10   20.000000  500.000000   0.115216E+03   0.242294E+03   0.000000E+00       -0.300367E+02   0.000000E+00   0.000000E+00       -0.300367E+02   0.000000E+00   0.000000E+00
 11   20.000000 1000.000000   0.519930E+02   0.108776E+03   0.000000E+00       -0.122929E+02   0.000000E+00   0.000000E+00       -0.122929E+02   0.000000E+00   0.000000E+00
