#conf  sigma[cmm1]   T[K]      K_x            K_y            K_z                 K_xy           K_xz           K_yz                K_yx           K_zx           K_zy       
  1   20.000000    5.000000   0.104086E+05   0.644903E+05   0.000000E+00        0.225034E+05   0.000000E+00   0.000000E+00        0.225034E+05   0.000000E+00   0.000000E+00
  2   20.000000   10.000000   0.116358E+05   0.746671E+05   0.000000E+00        0.179165E+05   0.000000E+00   0.000000E+00        0.179165E+05   0.000000E+00   0.000000E+00
  3   20.000000   20.000000   0.841743E+04   0.514338E+05   0.000000E+00        0.930732E+04   0.000000E+00   0.000000E+00        0.930732E+04   0.000000E+00   0.000000E+00
  4   20.000000   30.000000   0.653096E+04   0.379488E+05   0.000000E+00        0.614408E+04   0.000000E+00   0.000000E+00        0.614408E+04   0.000000E+00   0.000000E+00
  5   20.000000   50.000000   0.464460E+04   0.245928E+05   0.000000E+00        0.356377E+04   0.000000E+00   0.000000E+00        0.356377E+04   0.000000E+00   0.000000E+00
  6   20.000000   70.000000   0.366966E+04   0.180358E+05   0.000000E+00        0.247068E+04   0.000000E+00   0.000000E+00        0.247068E+04   0.000000E+00   0.000000E+00
  7   20.000000  100.000000   0.269890E+04   0.125783E+05   0.000000E+00        0.167898E+04   0.000000E+00   0.000000E+00        0.167898E+04   0.000000E+00   0.000000E+00
  8   20.000000  200.000000   0.120230E+04   0.556067E+04   0.000000E+00        0.750398E+03   0.000000E+00   0.000000E+00        0.750398E+03   0.000000E+00   0.000000E+00
  9   20.000000  300.000000   0.705663E+03   0.329441E+04   0.000000E+00        0.443406E+03   0.000000E+00   0.000000E+00        0.443406E+03   0.000000E+00   0.000000E+00
 10   20.000000  500.000000   0.371691E+03   0.175950E+04   0.000000E+00        0.235427E+03   0.000000E+00   0.000000E+00        0.235427E+03   0.000000E+00   0.000000E+00
 11   20.000000 1000.000000   0.171332E+03   0.820394E+03   0.000000E+00        0.109400E+03   0.000000E+00   0.000000E+00        0.109400E+03   0.000000E+00   0.000000E+00
