#conf  sigma[cmm1]   T[K]      K_C^x            K_C^y            K_C^z                 K_C^xy           K_C^xz           K_C^yz                K_C^yx           K_C^zx           K_C^zy       
  1   20.000000    5.000000   0.970182E-09   0.970182E-09   0.000000E+00       -0.245989E-24   0.000000E+00   0.000000E+00       -0.245989E-24   0.000000E+00   0.000000E+00
  2   20.000000   10.000000   0.951797E-06   0.951797E-06   0.000000E+00        0.839644E-22   0.000000E+00   0.000000E+00        0.839644E-22   0.000000E+00   0.000000E+00
  3   20.000000   20.000000   0.203103E-04   0.203103E-04   0.000000E+00       -0.671715E-20   0.000000E+00   0.000000E+00       -0.671715E-20   0.000000E+00   0.000000E+00
  4   20.000000   30.000000   0.577324E-04   0.577324E-04   0.000000E+00        0.537372E-20   0.000000E+00   0.000000E+00        0.537372E-20   0.000000E+00   0.000000E+00
  5   20.000000   50.000000   0.174579E-03   0.174579E-03   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00
  6   20.000000   70.000000   0.383481E-03   0.383481E-03   0.000000E+00        0.128969E-18   0.000000E+00   0.000000E+00        0.128969E-18   0.000000E+00   0.000000E+00
  7   20.000000  100.000000   0.101753E-02   0.101753E-02   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00
  8   20.000000  200.000000   0.897694E-02   0.897694E-02   0.000000E+00        0.275135E-17   0.000000E+00   0.000000E+00        0.275135E-17   0.000000E+00   0.000000E+00
  9   20.000000  300.000000   0.347351E-01   0.347351E-01   0.000000E+00       -0.275135E-17   0.000000E+00   0.000000E+00       -0.275135E-17   0.000000E+00   0.000000E+00
 10   20.000000  500.000000   0.119424E+00   0.119424E+00   0.000000E+00       -0.550269E-16   0.000000E+00   0.000000E+00       -0.550269E-16   0.000000E+00   0.000000E+00
 11   20.000000 1000.000000   0.253175E+00   0.253175E+00   0.000000E+00        0.110054E-15   0.000000E+00   0.000000E+00        0.110054E-15   0.000000E+00   0.000000E+00
