#conf  sigma[cmm1]   T[K]      K_P^x            K_P^y            K_P^z                 K_P^xy           K_P^xz           K_P^yz                K_P^yx           K_P^zx           K_P^zy       
  1   20.000000    5.000000   0.775819E+03   0.775819E+03   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00
  2   20.000000   10.000000   0.945680E+04   0.945680E+04   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00
  3   20.000000   20.000000   0.143495E+05   0.143495E+05   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00
  4   20.000000   30.000000   0.120198E+05   0.120198E+05   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00        0.000000E+00   0.000000E+00   0.000000E+00
  5   20.000000   50.000000   0.846664E+04   0.846664E+04   0.000000E+00        0.721249E-12   0.000000E+00   0.000000E+00        0.721249E-12   0.000000E+00   0.000000E+00
  6   20.000000   70.000000   0.643295E+04   0.643295E+04   0.000000E+00        0.360624E-11   0.000000E+00   0.000000E+00        0.360624E-11   0.000000E+00   0.000000E+00
  7   20.000000  100.000000   0.459112E+04   0.459112E+04   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00
  8   20.000000  200.000000   0.205764E+04   0.205764E+04   0.000000E+00       -0.180312E-12   0.000000E+00   0.000000E+00       -0.180312E-12   0.000000E+00   0.000000E+00
  9   20.000000  300.000000   0.123437E+04   0.123437E+04   0.000000E+00        0.450780E-12   0.000000E+00   0.000000E+00        0.450780E-12   0.000000E+00   0.000000E+00
 10   20.000000  500.000000   0.667516E+03   0.667516E+03   0.000000E+00       -0.225390E-12   0.000000E+00   0.000000E+00       -0.225390E-12   0.000000E+00   0.000000E+00
 11   20.000000 1000.000000   0.313492E+03   0.313492E+03   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00
