#conf  sigma[cmm1]   T[K]      K_TOT^x            K_TOT^y            K_TOT^z                 K_TOT^xy           K_TOT^xz           K_TOT^yz                K_TOT^yx           K_TOT^zx           K_TOT^zy       
  1   20.000000    5.000000   0.775819E+03   0.775819E+03   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00        0.901561E-13   0.000000E+00   0.000000E+00
  2   20.000000   10.000000   0.945680E+04   0.945680E+04   0.000000E+00        0.839644E-22   0.000000E+00   0.000000E+00        0.839644E-22   0.000000E+00   0.000000E+00
  3   20.000000   20.000000   0.143495E+05   0.143495E+05   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00
  4   20.000000   30.000000   0.120198E+05   0.120198E+05   0.000000E+00        0.537372E-20   0.000000E+00   0.000000E+00        0.537372E-20   0.000000E+00   0.000000E+00
  5   20.000000   50.000000   0.846664E+04   0.846664E+04   0.000000E+00        0.721249E-12   0.000000E+00   0.000000E+00        0.721249E-12   0.000000E+00   0.000000E+00
  6   20.000000   70.000000   0.643295E+04   0.643295E+04   0.000000E+00        0.360624E-11   0.000000E+00   0.000000E+00        0.360624E-11   0.000000E+00   0.000000E+00
  7   20.000000  100.000000   0.459113E+04   0.459113E+04   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00        0.144250E-11   0.000000E+00   0.000000E+00
  8   20.000000  200.000000   0.205765E+04   0.205765E+04   0.000000E+00       -0.180309E-12   0.000000E+00   0.000000E+00       -0.180309E-12   0.000000E+00   0.000000E+00
  9   20.000000  300.000000   0.123440E+04   0.123440E+04   0.000000E+00        0.450778E-12   0.000000E+00   0.000000E+00        0.450778E-12   0.000000E+00   0.000000E+00
 10   20.000000  500.000000   0.667636E+03   0.667636E+03   0.000000E+00       -0.225445E-12   0.000000E+00   0.000000E+00       -0.225445E-12   0.000000E+00   0.000000E+00
 11   20.000000 1000.000000   0.313745E+03   0.313745E+03   0.000000E+00        0.902661E-13   0.000000E+00   0.000000E+00        0.902661E-13   0.000000E+00   0.000000E+00
