 Note: create a file called 'STOP' to stop the code at next iteration and write out the result.
 Use option '-h' for more help.

  --- PARAMETERS : ---
  power to distribute ASR correction term:    2.0000000000000000     
  threshold of ASR violation:    9.9999999999999998E-013
  number of iterations max:        10000
  use periodic bounday conditions:  F
  --- ------------ ---
 ** Reading full grid FC3 file mat3R
     alat (bohr)   10.200000
     tpiba (1/bohr)    0.615999
     at_1 = (   -0.500000    0.000000    0.500000 )
     at_2 = (    0.000000    0.500000    0.500000 )
     at_3 = (   -0.500000    0.500000    0.000000 )
     bg_1 = (   -1.000000   -1.000000    1.000000 )
     bg_2 = (    1.000000    1.000000    1.000000 )
     bg_3 = (   -1.000000    1.000000   -1.000000 )
     volume (bohr^3)  265.302000
 WARNING: Masses seem to be in Dalton units: rescaling
 old:   28.085999999999999     
 new:   25598.821660770001     
    Original FC3 grid:           2           2           2
    Number of R:               301
  grid size           2           2           2
 Reading : done. //  Mem used:  -1.0000000000000000E-003 Mb
 R indexing : done. //  Mem used:           0 Mb
 FC3 reindex : done. //  Mem used:           0 Mb
 Pre-symmetrization:   1.6615274621283106E-016
  Minimization started: create a file named 'STOP' to stop.
  asr3      iter        SQRT(deltot)SQRT(ABS(deltot-dels             delperm
  asr3         1        0.244684E-01        0.244684E-01        0.686470E-02
  asr3         2        0.177530E-01        0.177530E-01        0.431452E-02
  asr3         3        0.133255E-01        0.133255E-01        0.295718E-02
  asr3         4        0.948947E-02        0.948947E-02        0.202637E-02
  asr3         5        0.649823E-02        0.649823E-02        0.136565E-02
  asr3         6        0.437282E-02        0.437282E-02        0.912258E-03
  asr3         7        0.293854E-02        0.293854E-02        0.610731E-03
  asr3         8        0.199275E-02        0.199275E-02        0.413423E-03
  asr3         9        0.137199E-02        0.137199E-02        0.284576E-03
  asr3        10        0.961655E-03        0.961655E-03        0.199694E-03
  asr3        11        0.686507E-03        0.686507E-03        0.142879E-03
  asr3        12        0.498695E-03        0.498695E-03        0.104102E-03
  asr3        13        0.368069E-03        0.368069E-03        0.770944E-04
  asr3        14        0.275552E-03        0.275552E-03        0.579153E-04
  asr3        15        0.208907E-03        0.208907E-03        0.440521E-04
  asr3        16        0.160152E-03        0.160152E-03        0.338706E-04
  asr3        17        0.123975E-03        0.123975E-03        0.262861E-04
  asr3        18        0.967849E-04        0.967849E-04        0.205641E-04
  asr3        19        0.761087E-04        0.761087E-04        0.161979E-04
  asr3        20        0.602203E-04        0.602203E-04        0.128329E-04
  asr3        21        0.478969E-04        0.478969E-04        0.102164E-04
  asr3        22        0.382604E-04        0.382604E-04        0.816639E-05
  asr3        23        0.306720E-04        0.306720E-04        0.654960E-05
  asr3        24        0.246607E-04        0.246607E-04        0.526738E-05
  asr3        25        0.198747E-04        0.198747E-04        0.424573E-05
  asr3        26        0.160484E-04        0.160484E-04        0.342852E-05
  asr3        27        0.129790E-04        0.129790E-04        0.277273E-05
  asr3        28        0.105097E-04        0.105097E-04        0.224509E-05
  asr3        29        0.851880E-05        0.851880E-05        0.181963E-05
  asr3        30        0.691060E-05        0.691060E-05        0.147597E-05
  asr3        31        0.560963E-05        0.560963E-05        0.119799E-05
  asr3        32        0.455593E-05        0.455593E-05        0.972859E-06
  asr3        33        0.370170E-05        0.370170E-05        0.790369E-06
  asr3        34        0.300863E-05        0.300863E-05        0.642329E-06
  asr3        35        0.244598E-05        0.244598E-05        0.522161E-06
  asr3        36        0.198898E-05        0.198898E-05        0.424569E-06
  asr3        37        0.161764E-05        0.161764E-05        0.345279E-06
  asr3        38        0.131582E-05        0.131582E-05        0.280838E-06
  asr3        39        0.107043E-05        0.107043E-05        0.228452E-06
  asr3        40        0.870878E-06        0.870878E-06        0.185855E-06
  asr3        41        0.708580E-06        0.708580E-06        0.151213E-06
  asr3        42        0.576563E-06        0.576563E-06        0.123035E-06
  asr3        43        0.469164E-06        0.469164E-06        0.100114E-06
  asr3        44        0.381786E-06        0.381786E-06        0.814665E-07
  asr3        45        0.310690E-06        0.310690E-06        0.662945E-07
  asr3        46        0.252841E-06        0.252841E-06        0.539497E-07
  asr3        47        0.205767E-06        0.205767E-06        0.439046E-07
  asr3        48        0.167460E-06        0.167460E-06        0.357306E-07
  asr3        49        0.136286E-06        0.136286E-06        0.290788E-07
  asr3        50        0.110917E-06        0.110917E-06        0.236657E-07
  asr3        51        0.902712E-07        0.902712E-07        0.192604E-07
  asr3        52        0.734687E-07        0.734687E-07        0.156753E-07
  asr3        53        0.597941E-07        0.597941E-07        0.127576E-07
  asr3        54        0.486650E-07        0.486650E-07        0.103831E-07
  asr3        55        0.396074E-07        0.396074E-07        0.845053E-08
  asr3        56        0.322358E-07        0.322358E-07        0.687771E-08
  asr3        57        0.262362E-07        0.262362E-07        0.559764E-08
  asr3        58        0.213533E-07        0.213533E-07        0.455583E-08
  asr3        59        0.173792E-07        0.173792E-07        0.370792E-08
  asr3        60        0.141447E-07        0.141447E-07        0.301783E-08
  asr3        61        0.115122E-07        0.115122E-07        0.245618E-08
  asr3        62        0.936968E-08        0.936968E-08        0.199906E-08
  asr3        63        0.762590E-08        0.762590E-08        0.162701E-08
  asr3        64        0.620666E-08        0.620666E-08        0.132421E-08
  asr3        65        0.505155E-08        0.505155E-08        0.107777E-08
  asr3        66        0.411142E-08        0.411142E-08        0.877184E-09
  asr3        67        0.334625E-08        0.334625E-08        0.713934E-09
  asr3        68        0.272349E-08        0.272349E-08        0.581065E-09
  asr3        69        0.221663E-08        0.221663E-08        0.472925E-09
  asr3        70        0.180410E-08        0.180410E-08        0.384910E-09
  asr3        71        0.146835E-08        0.146835E-08        0.313276E-09
  asr3        72        0.119508E-08        0.119508E-08        0.254973E-09
  asr3        73        0.972667E-09        0.972667E-09        0.207521E-09
  asr3        74        0.791648E-09        0.791648E-09        0.168900E-09
  asr3        75        0.644317E-09        0.644317E-09        0.137467E-09
  asr3        76        0.524406E-09        0.524406E-09        0.111883E-09
  asr3        77        0.426811E-09        0.426811E-09        0.910612E-10
  asr3        78        0.347379E-09        0.347379E-09        0.741142E-10
  asr3        79        0.282729E-09        0.282729E-09        0.603211E-10
  asr3        80        0.230112E-09        0.230112E-09        0.490950E-10
  asr3        81        0.187287E-09        0.187287E-09        0.399581E-10
  asr3        82        0.152432E-09        0.152432E-09        0.325217E-10
  asr3        83        0.124063E-09        0.124063E-09        0.264692E-10
  asr3        84        0.100974E-09        0.100974E-09        0.215431E-10
  asr3        85        0.821824E-10        0.821824E-10        0.175338E-10
  asr3        86        0.668878E-10        0.668878E-10        0.142707E-10
  asr3        87        0.544396E-10        0.544396E-10        0.116148E-10
